Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm),Year
0,0,0,0,1,008:20:26,1988
1,1,0,1,2,140:17:26,2008
1,1,0,2,2,140:17:26,2012
2,2,0,3,2,069:15:45,1969
2,2,0,4,2,069:15:45,1973
3,2,0,5,2,027:21:09,2008
3,2,0,6,2,027:21:09,2010
4,2,0,7,2,009:00:17,1961
4,2,0,8,2,009:00:17,1971
5,2,0,9,1,015:21:52,1995
6,3,0,10,1,091:10:46,1988
7,4,0,11,1,179:01:17,1990
8,4,0,12,1,139:14:47,1978
9,4,0,13,1,174:03:25,1987
10,5,0,14,1,184:22:07,1997
11,5,0,15,2,333:11:28,2013
11,5,0,16,2,333:11:28,2017
12,4,0,17,2,309:18:02,1983
12,4,0,18,2,309:18:02,1987
13,5,0,19,2,331:11:23,2011
13,5,0,20,2,331:11:23,2014
14,4,0,21,4,372:22:53,1982
14,4,0,22,4,372:22:53,1983
14,4,0,23,4,372:22:53,1989
14,4,0,24,4,372:22:53,1993
15,5,0,25,3,545:16:49,2010
15,5,0,26,3,545:16:49,2014
15,5,0,27,3,545:16:49,2019
16,4,0,28,2,037:11:35,1975
16,4,0,29,2,037:11:35,1978
17,4,0,30,2,007:00:32,1965
17,4,0,31,2,007:00:32,1975
18,4,0,32,3,008:22:22,1969
18,4,0,33,3,008:22:22,1969
18,4,0,34,3,008:22:22,1971
19,5,0,35,2,374:19:31,2016
19,5,0,36,2,374:19:31,2019
20,6,0,37,2,361:20:43,2014
20,6,0,38,2,361:20:43,2018
21,5,0,39,5,769:06:35,1992
21,5,0,40,5,769:06:35,1996
21,5,0,41,5,769:06:35,2000
21,5,0,42,5,769:06:35,2003
21,5,0,43,5,769:06:35,2010
22,5,0,44,1,179:00:43,1993
23,4,0,18,4,489:01:35,1987
23,4,0,23,4,489:01:35,1989
23,4,0,39,4,489:01:35,1992
23,4,0,45,4,489:01:35,1994
24,4,0,46,3,391:11:52,1985
24,4,0,47,3,391:11:52,1988
24,4,0,48,3,391:11:52,1991
25,2,0,49,1,012:07:11,1971
26,4,0,50,1,211:09:04,1982
27,5,0,51,3,425:14:07,2011
